# Run Date: 2025-06-09 20:13:37
# Command: mimi_kegg_extract -l 40 -u 1000 -o data/processed/kegg_compounds_40_1000Da_v3.tsv
# Number ofcompounds: 16089     
#
# compound         KEGG Compound Database
# cpd              Release 114.0+/06-09, Jun 25
#                  Kanehisa Laboratories
# 
# Mass range: 40.0-1000.0 Da
#
CF	ID	Name
C21H28O5	C07369	Prednisolone
C39H65NO11	C19958	Fasciculol F
C6H13O7PS	C22360	S-Methyl-1-thio-D-ribulose 5-phosphate
C5H7NO3	C04281	L-1-Pyrroline-3-hydroxy-5-carboxylate
C13H15Cl2NO	C11685	Clorgyline
C21H15N	C14599	2,3,3-Triphenylacrylonitrile
C19H19NO4	C09367	Bulbocapnine
C50H84O7P2	C18321	trans,octacis-Decaprenyl diphosphate
C11H16N2O5	C15497	1-(beta-D-Ribofuranosyl)-1,4-dihydronicotinamide
C14H15N3O6	C21164	7-Demethylmitomycin B
C18H34O3	C08365	Ricinoleic acid
C21H18O8	C12419	Auramycinone
C12H22O11	C19634	Melibiulose
C3H8NO5P	C01705	Glyphosate
C20H32	C18226	ent-Cassa-12,15-diene
C16H24N2O14P2	C11928	dTDP-4-oxo-2,6-dideoxy-D-allose
C13H16N2O6	C19068	Medinoterb acetate
C17H12O7	C10198	(-)-Acanthocarpan
C12H4Cl6	C18121	2,3,3',4,4',5'-Hexachlorobiphenyl
C43H58N4O13	C21143	2'-N-Hydroxyrifampicin
C20H16O7	C12401	PD116740
C8H14O3	C16652	3-Oxovalproic acid
C28H48O3	C15800	3-Dehydro-6-deoxoteasterone
C15H14O4	C14115	2-Naphtylmethylsuccinic acid
C20H28O	C16681	9-cis-Retinal
C10H13NO3	C07921	Metyrosine
C6H12O2	C21399	Isocaproate
C8H10O	C07213	2-Methylbenzyl alcohol
C15H18O4	C09473	Helenalin
C22H14	C19339	Benzo[b]chrysene
C12H14Cl3O4P	C18654	Chlorfenvinphos
C24H21N5O4	C22149	Fumiquinazoline D
C54H76N2O10	C20061	Ritterazine A
C6H4Br2O	C16247	2,6-Dibromophenol
C12H18O5S2	C11112	Isoprothiolane sulfoxide
C6H6O4	C14610	(S)-5-Oxo-2,5-dihydrofuran-2-acetate
C30H50O	C02141	Cycloeucalenol
C12H6Cl4N2S	C19025	Chlorfensulphide
C29H44O8	C08816	Cyasterone
C40H38N4O16	C02469	Uroporphyrin III
C12H22O5S	C17230	2-(7'-Methylthio)heptylmalic acid
C20H28O5	C11860	Gibberellin A15 open lactone
C10H6F17NO2S	C18766	Sulfluramid
C4H9NO2	C01026	N,N-Dimethylglycine
C16H19N3O3	C10698	Isofebrifugine
C6H10O2	C03228	3-Hydroxycyclohexanone
C24H34O7	C03019	Phorbol 13-butanoate
C15H14O4	C13633	2,2-Bis(4-hydroxyphenyl)-propanoic acid
C36H62O9	C22129	Ginsenoside Rh1
C4H3NO3	C14414	2-Nitrofuran
C39H39O22	C08653	Malonylawobanin
C15H22O5	C09482	Hymenoxon
C2H4N2O3	C01010	Urea-1-carboxylate
C8H15NO	C00729	Tropine
C22H26O4	C15030	3,6-Dimethoxyestra-1,3,5(10),6,8-pentaene-17beta-carboxylic acid methyl ester
C9H10N2O	C13840	1-Ethyl-2-benzimidazolinone
C42H67NO12	C21579	12ADT
C7H16N4O2	C22904	(3R)-3-Methyl-L-arginine
C17H28O4S	C02195	Steryl sulfate
C6H4Cl2O2	C07094	3,6-Dichlorocatechol
C2H2Cl2	C14039	1,1-Dichloroethylene
C11H8O2	C08774	(Z)-Dehydromatricaria ester
C20H32	C22110	Isoelisabethatriene
C15H13ClO4	C19070	Clofop
C14H16O9	C16519	2-Succinyl-5-enolpyruvyl-6-hydroxy-3-cyclohexene-1-carboxylate
C6H12O5	C02338	beta-L-Rhamnose
C16H15Cl2NO2	C18531	Clomeprop
C3H7ClO2	C18676	alpha-Chlorohydrin
C5H10O5	C21382	R-THMF
C6H13NO2	C01570	D-Leucine
C10H17N5O16P4	C03483	Adenosine tetraphosphate
C20H20O7	C20499	(1'S)-Averantin
C24H23O15	C16301	Delphinidin 3-O-(6''-O-malonyl)-beta-D-glucoside
C19H21N5O2	C07508	Pirenzepine
C17H14ClF7O2	C10992	Tefluthrin
C18H29N3O15P2	C20156	dTDP-3-acetamido-3,6-dideoxy-alpha-D-galactopyranose
C6H10O6	C21955	L-Galactono-1,5-lactone
C26H28ClNO	C08166	Toremifene
C16H19NO3	C16702	4'-O-Methylnorbelladine
C12H18O2	C16937	Cnidilide
C31H23BrO3	C18694	Brodifacoum
C12H7Cl3O	C14189	2,4,6-Trichloro-4'-biphenylol
C21H32O2	C15108	17beta-Hydroxy-6alpha,17-dimethylandrost-4-en-3-one
C10H19N5O	C14186	Prometon
C18H28O3	C16325	10-OPDA
C30H44O4	C02943	3-Oxoglycyrrhetinate
C12H24N2O3	C01255	N-(6-Aminohexanoyl)-6-aminohexanoate
C12H16O3	C15765	Coronafacic acid
C10H16O	C11941	Pinocarveol
C6H4O5	C20450	2,5-Furandicarboxylate
C25H35NO3	C21142	3,4-Dihydroxy-2-methy-4-[(2E,6E)-farnesyl]-3,4-dihydroquinoline 1-oxide
Fe	C00023	Iron
C10H9Cl4NO2S	C18754	Captafol
C9H10O4	C12622	cis-3-(3-Carboxyethenyl)-3,5-cyclohexadiene-1,2-diol
C10H16O2	C00848	6-Oxocineole
C19H14	C19450	4-Methylchrysene
C10H16O2	C18019	1-Hydroxy-p-menth-8-en-2-one
C26H28ClNO	C06917	Clomiphene
C16H20O9	C09782	Gentiopicrin
C28H36O3	C08638	Tingenone
C42H68O13	C08975	Saikosaponin A
C25H28O3	C13444	Estradiol benzoate
C6H14N2O3	C02627	2-Deoxystreptamine
C12H7Br4O5P	C18392	Bromofenofos
C5H10N2O3	C00819	D-Glutamine
C19H32O2	C03176	Steroid hydroperoxide
C32H46O8	C08794	Cucurbitacin B
C30H49N3O10S	C11304	S-(PGA1)-glutathione
C30H28O12	C17774	Gambiriin A3
C24H40O5	C17726	beta-Muricholate
C18H22N2S	C07172	Trimeprazine
C7H6O3	C22920	4-Oxocyclohex-2,5-dienecarboxylate
C20H24N10O13P2	C20640	Cyclic GMP-AMP
C23H25N5O5	C06970	Doxazosin
C7H6N2O5	C21159	2,4-Dinitroanisole
C12H23N3O7	C17583	6'-Dehydro-6'-oxoparomamine
C15H12O8	C22569	(2E,4E)-2,4-Dihydroxy-4-[6-(4-hydroxyphenyl)-2,4-dioxodihydro-2H-pyran-3(4H)-ylidene]but-2-enoate
C17H14N2	C09154	Ellipticine
C36H58O8	C22130	Oleanolate 3-O-beta-D-glucoside
C21H25NO3	C15014	3-(2-Propenyloxy)estra-1,3,5(10)-triene-16,17-dione 16-oxime
C12H17NO3	C16704	Anhalonidine
C6H8N2OS	C13711	Thio-THIP
C3H8O2	C02912	(R)-Propane-1,2-diol
C8H18	C01387	Octane
C20H30O4	C05955	Prostaglandin C2
C21H24O7	C10891	Trachelogenin
C12H22O11	C01083	alpha,alpha-Trehalose
C20H25N7O6	C00440	5-Methyltetrahydrofolate
C6H6O3	C02752	Triacetate lactone
C2H6Se	C02535	Dimethyl selenide
C4H9N3O3	C08264	L-Albizziine
C15H10O4	C10028	Chrysin
C5H4N2O4	C03030	Uracil 5-carboxylate
C24H38O4	C03690	Bis(2-ethylhexyl)phthalate
C19H16Cl2N2O4S	C11123	Pyrazolate
C5H9NO3	C01165	L-Glutamate 5-semialdehyde
C4H10NO6P	C01102	O-Phospho-L-homoserine
