CF	ID	Name
C21H28N7O14P2	C00003	NAD+
C21H29N7O17P3	C00006	NADP+
C9H14N2O12P2	C00015	UDP
C27H33N9O15P2	C00016	FAD
C8H10NO6P1	C00018	Pyridoxal phosphate
C15H22N6O5S1	C00019	S-Adenosyl-L-methionine
C14H20N6O5S	C00021	S-Adenosyl-L-homocysteine
C23H38N7O17P3S	C00024	Acetyl-CoA
C34H32FeN4O4	C00032	Heme
C2H2O3	C00048	Glyoxylate
C10H17N3O6S	C00051	Glutathione
CH2O2	C00058	Formate
C17H21N4O9P	C00061	FMN
C9H16N3O14P3	C00063	CTP
CH2O	C00067	Formaldehyde
C12H19N4O7P2S	C00068	Thiamin diphosphate
C9H15N2O15P3	C00075	UTP
C24H38N7O19P3S	C00083	Malonyl-CoA
C24H40N7O17P3S	C00100	Propanoyl-CoA
C19H23N7O6	C00101	Tetrahydrofolate
C9H15N3O11P2	C00112	CDP
C14H6N2O8	C00113	PQQ
C5H14NO	C00114	Choline
C3H8O3	C00116	Glycerol
C20H32N6O12S2	C00127	Glutathione disulfide
C20H31N4O16P	C00128	CMP-N-acetylneuraminate
C10H13N4O8P	C00130	IMP
C10H16N5O12P3	C00131	dATP
CH4O	C00132	Methanol
C20H23N7O6	C00143	"5,10-Methylenetetrahydrofolate"
C5H5N5	C00147	Adenine
C2H4O3	C00160	Glycolate
CH4NO5P	C00169	Carbamoyl phosphate
C11H15N5O3S	C00170	5'-Methylthioadenosine
C5H14N4	C00179	Agmatine
C2H7NO	C00189	Ethanolamine
C6H14FO3P	C00202	Isoflurophate
C10H15N5O9P2	C00206	dADP
C2H2O4	C00209	Oxalate
CH5N	C00218	Methylamine
C10H14N5O10PS	C00224	Adenylyl sulfate
C5H12O7P2	C00235	Dimethylallyl diphosphate
C9H14N3O7P	C00239	dCMP
C5H5N5O	C00242	Guanine
C2H7NO3S	C00245	Taurine
C8H15NOS2	C00248	Lipoamide
C16H32O2	C00249	Hexadecanoic acid
C17H20N4O6	C00255	Riboflavin
C3H6O4	C00258	D-Glycerate
C7H6O	C00261	Benzaldehyde
C5H4N4O	C00262	Hypoxanthine
C2H4O2	C00266	Glycolaldehyde
C10H16N2O8	C00284	EDTA
C10H12N4O5	C00294	Inosine
C50H73N15O11	C00306	Bradykinin
C14H26N4O11P2	C00307	CDP-choline
C5H12N4O3	C00308	Canavanine
C23H36N7O19P3S	C00313	Oxalyl-CoA
C7H19N3	C00315	Spermidine
C6H13N3O3	C00327	L-Citrulline
C25H40N7O18P3S	C00332	Acetoacetyl-CoA
C10H14N5O6P	C00360	dAMP
C10H16N2O11P2	C00363	dTDP
C10H15N2O8P	C00364	dTMP
C9H13N2O8P	C00365	dUMP
C5H4N4O3	C00366	Urate
C12H17N4OS	C00378	Thiamine
C4H5N3O	C00380	Cytosine
C9H14N4O3	C00386	Carnosine
C5H9N3	C00388	Histamine
C4H4N2	C00396	Pyrimidine
C18H37N5O9	C00397	Tobramycin
C31H44N7O19P3S	C00406	Feruloyl-CoA
CH4S	C00409	Methanethiol
C39H70N7O17P3S	C00412	Stearoyl-CoA
C21H39N7O12	C00413	Streptomycin
C19H21N7O6	C00415	Dihydrofolate
C20H25N7O6	C00440	5-Methyltetrahydrofolate
